00000072) perceptual - 92.36716; equivariance_value - 0.18208; equivariance_jacobian - 0.47208
00000073) perceptual - 91.90245; equivariance_value - 0.18383; equivariance_jacobian - 0.47630
00000074) perceptual - 92.24433; equivariance_value - 0.17986; equivariance_jacobian - 0.47220
00000075) perceptual - 92.34118; equivariance_value - 0.18015; equivariance_jacobian - 0.47102
00000076) perceptual - 92.62299; equivariance_value - 0.17888; equivariance_jacobian - 0.47344
00000077) perceptual - 92.43118; equivariance_value - 0.18596; equivariance_jacobian - 0.47626
00000078) perceptual - 92.10261; equivariance_value - 0.18204; equivariance_jacobian - 0.47498
00000079) perceptual - 91.96589; equivariance_value - 0.18127; equivariance_jacobian - 0.47738
00000080) perceptual - 92.23399; equivariance_value - 0.18332; equivariance_jacobian - 0.47989
00000081) perceptual - 91.35973; equivariance_value - 0.18045; equivariance_jacobian - 0.46836
00000082) perceptual - 90.63394; equivariance_value - 0.18125; equivariance_jacobian - 0.47381
00000083) perceptual - 91.93288; equivariance_value - 0.17799; equivariance_jacobian - 0.47001
00000084) perceptual - 91.35649; equivariance_value - 0.17968; equivariance_jacobian - 0.46711
00000085) perceptual - 90.52570; equivariance_value - 0.18043; equivariance_jacobian - 0.46494
00000086) perceptual - 90.13056; equivariance_value - 0.17829; equivariance_jacobian - 0.47149
00000087) perceptual - 90.63679; equivariance_value - 0.18036; equivariance_jacobian - 0.47011
00000088) perceptual - 90.79544; equivariance_value - 0.17903; equivariance_jacobian - 0.46460
00000089) perceptual - 91.09583; equivariance_value - 0.17867; equivariance_jacobian - 0.46497
00000090) perceptual - 90.98776; equivariance_value - 0.17967; equivariance_jacobian - 0.46886
00000091) perceptual - 91.59589; equivariance_value - 0.17998; equivariance_jacobian - 0.45946
00000092) perceptual - 90.50202; equivariance_value - 0.17701; equivariance_jacobian - 0.46117
00000093) perceptual - 91.78176; equivariance_value - 0.18147; equivariance_jacobian - 0.46904
00000094) perceptual - 91.31020; equivariance_value - 0.17966; equivariance_jacobian - 0.46650
00000095) perceptual - 90.30483; equivariance_value - 0.18089; equivariance_jacobian - 0.45880
00000096) perceptual - 89.96558; equivariance_value - 0.17780; equivariance_jacobian - 0.46310
00000097) perceptual - 90.56657; equivariance_value - 0.18092; equivariance_jacobian - 0.46789
00000098) perceptual - 90.64449; equivariance_value - 0.18375; equivariance_jacobian - 0.47013
00000099) perceptual - 91.64031; equivariance_value - 0.18170; equivariance_jacobian - 0.46738
00000100) perceptual - 90.71561; equivariance_value - 0.17855; equivariance_jacobian - 0.46755
00000101) perceptual - 90.09472; equivariance_value - 0.17923; equivariance_jacobian - 0.46349
00000102) perceptual - 90.55171; equivariance_value - 0.17727; equivariance_jacobian - 0.45755
00000103) perceptual - 91.59027; equivariance_value - 0.18079; equivariance_jacobian - 0.45912
00000104) perceptual - 89.46944; equivariance_value - 0.17908; equivariance_jacobian - 0.46889
00000105) perceptual - 89.91969; equivariance_value - 0.18113; equivariance_jacobian - 0.45965
00000106) perceptual - 91.23363; equivariance_value - 0.17741; equivariance_jacobian - 0.46196
00000107) perceptual - 89.98313; equivariance_value - 0.17774; equivariance_jacobian - 0.45974
00000108) perceptual - 89.38069; equivariance_value - 0.17652; equivariance_jacobian - 0.45763
00000109) perceptual - 90.93997; equivariance_value - 0.18059; equivariance_jacobian - 0.46167
